#######################################################
#
# Diccionario de palabras y frases informales para el español 
#
# Es un diccionario formado por frases y palabras informales (670 elementos con carga emocional o elementos que aparecen frecuentemente).
# Ejemplos: finde a fin de semana, msj a mensaje, dep a descanse en paz, ex a pareja anterior, 3d a tercera dimensión, hdp a hijo de puta, d a de, x a por, 
# tv a televisión, entre otros. Dicho diccionario se encuentra al final de este mismo archivo.
#
# Please, cite the following paper if you are using this resource:
# Camacho, V., Sidorov, G., & Galicia, N. (2016). Aprendizaje automático de emociones en corpus balanceado de textos cortos informales de variedades del español (manuscrito enviado).
# 
# Information: vcamachob10@sagitario.cic.ipn.mx, vane.cv15@gmail.com
#######################################################

4d cuarta_dimensión
hdps hijos_de_puta
lpm la_puta_madre
malandros delincuentes
malandro delincuente
mail correo
mails correos
mail correo_electrónico
pollerudo hombre_sometido
pollerudos hombres_sometidos
polleruda mujer_sometida
pollerudas mujer_sometida
mandilon hombre_sometido
mandilón hombre_sometido
mandilones hombres_sometidos
llegar_a_piñas emborrachar
coger_el_pedo emborrachar
peda borrachera
pedas borracheras
estar_jugado borracho
estar_pedo borracho
estar_pedos borrachos
drunk borracho
musicon música
pop música
musiquita música
music música
pendejear tontear
psicopata psicópata
psico psicópata
psicopata psicópatas
pa papá
papis papás
papi papá
mama mamá
ma mamá
mami mamá
dad papá
dady papá
mom mamá
compa compadre
compas compadres
carajo maldición
carajos maldiciones
hormona_de_la_felicidad oxitocina
tq te_quiero
tqm te_quiero_mucho
queres quieres
querés quieres
cds discos
cd disco
relajo desastre
nene niño
nena niña
nenes niños
nenas niñas
boy niño
boys niños
kid niño
kids niños
kid niño
child niños
girl niña
girls niñas
morsear descansar
merienda cena
dinner cena
chau adiós
chao adiós
bye adiós
descomponer enfermar
cheerio adiós
mina mujer
minas mujeres
chula mujer_linda
chulas mujeres_lindas
tía mujer
tías mujeres
chica mujer
chicas mujeres
tia mujer
tias mujeres
woman mujer
women mujeres
tio hombre
tios hombres
tío hombre
tíos hombres
guy hombre
guys hombres
men hombres
man hombre
negras mujeres_vulgares
negra mujer_vulgar
negro hombre_vulgar
negros hombres_vulgares
lavar_el_cerebro convencer
dorar_la_píldora mentir
bolas testículos
tirar_onda querer
atención ojo
dar_manija enojar
rabo_verde pervertido
rabos_verdes pervertidos
viejo_verde morboso
viejos_verdes morbosos
lame_culos hombre_arrastrado
regla menstruación
follar fornicar
coger fornicar
pololear tener_relaciones_sexuales
trasero culo
traseros culos
en_bolas desnudo
bronca problema
dar_palmas_con_orejas aplaudir
chupar_un_huevo sin_importar
trabar hacer_pesas
plis por_favor
please por_favor
xfa por_favor
porfa por_favor
hacer_cuchara acurrucar
pedo gas
pedos gases
costear pagar
peter joder
pija pene
pijas penes
polla pene
pollas penes
del_nabo muy_mal
hasta_la_madre harto
despelotar desvestir
dar_bola poner_atención
flipear alucinar
dar_alas ilusionar
dar_violín rascar
a_trompadas pelear
trompear pelear
neta verdad
netas verdades
careta hipócrita
caretas hipócritas
hacer_por_atrás hipócrita
hacer_por_detrás hipócrita
gentuza gente_despreciable
colectivero conductor
colectiveros conductores
dar_vuelto dar_cambio
shit mierda
platense persona_rica 
platenses personas_ricas 
bancar soportar
no_bancar no_soportar
hrs horas
hr hora
h hora
hour hora
hours horas
geta cara
getas caras
grasa asquerosa
poner_cuernos engañar
el_cura sacerdote
los_curas sacerdotes
cerrado_de_mollera ignorante
cerrados_de_mollera ignorantes
poner_del_culo molestar
en_tu_cara burlar
me_saca enojar
hacer_sacar enojar
joda fiesta
jodas fiestas
party fiesta
parties fiestas
ridículo patético
ridículos patéticos
cursi muy_delicado
cursis muy_delicados
chupar_la_cara risas
trucha fea
truchas feas
me_patea irritar
buitres ambiciosos
buitre ambicioso
ntp no_te_preocupes
guarro vulgar
guarros vulgares
naco vulgar
nacos vulgares
copar_mal grosero
estar_copado_mal grosero
hasta_la_nariz harta
porro cigarro
porros cigarros
secundario colegio
agrandar presumir
bananero ignorante
bananeros ignorantes
dep descanse_en_paz
moco fluidos_nasales
mocos fluidos_nasales
del_nabo mal
hueva flojera
comer_el_coco engañar
dar_una_torta golpear
casposa odiosa
casposo odioso
casposos odiosos
casposas odiosas
mona mujer_guapa
monas mujeres_guapas
chulo hombre_vividor
chulos hombres_vividores
caca desecho
cacas desechos
transporte subte
cuchichear chismear
zapas zapatos
moto motocicleta
motos motocicletas
pelotudo ingenuo
pelotudos ingenuos
pelotuda ingenua
pelotudas ingenuas
pelotudez tontería
pelotudes tontería
pelotudeces tonterías
pavada tontería
pavadas tonterías
bondi transporte
pibe muchacho
pibes muchachos
motocicletas cuatris
re muy
teta pecho
tetas pechos
pecho bubi
pechos bubis
pechos bubbies
rollos panza
rollo panza
lonjas panza
cool  fresco
gym gimnasio
gyms gimnasios
mg me_gusta
alien raro
aliens raros
rascar_el_codo no_importar
chavon muchacho
chavona muchacha
chavones muchachos
chabón muchacho
chabones muchachos
chabonas muchachas
chabona muchacha
chaval muchacho
chavales muchachos
chavala muchacha
chavalas muchachas
huevon flojo
huevona floja
huevones flojos
huevonas flojas
huevonear flojear
depto departamento
deptos departamentos
micro microbús
micros camiones
refri refrigerador
freezer refrigerador
mello miedo
mellos miedos
prepa preparatoria
voca vocacional
look imágen
patraña mentira
patrañas mentiras
depresión bajón
ni_dar_bola ignorar
dar_bola gustar
careta hipócrita
caretas hipócritas
al_palo a_todo_volumen
gilipollas tonto
qué_paja mentira
hasta_los_huevos muy_mal
mala_leche mal_humor
rumbear bailar
un_montón mucho
laburo trabajo
poner_las_pilas ánimo
molar molestar
a_pata caminar
nmg no_me_gusta
cucharear dormir
siesta descanso
siestas descansos
rumbero escandaloso
rumberos escandalosos
rumbera escandalosa
rumberas escandalosas
verdulero escandaloso
verduleros escandalosos
verdulera escandalosa
verduleras escandalosas
bombón guapo
bombom guapo
bombones guapos
dar_la_gana porque_sí
albur palabra_con_doble_sentido
albures palabras_con_doble_sentido
regalonear coquetear
regalada coqueta
regaladas coquetas
dep descanse_en_paz
nmg no_me_gusta
love_it lo_amo
what_a sorprender
aveces a_veces
consueño con_sueño
i_love_you te_amo
i_need_you te_necesito
splash_out gastar_mucho_dinero
favear marcar_como_interesante
misamores mis_amores
bee's_knees algo_espectacular
donkey's_years en_largo_tiempo
on_line conectar_en_internet
buendía buen_día
qel que_el
goodnight buenas_noches
good_night buenas_noches
faff perder_tiempo_preguntando
cheers brindar
sos eres
sosrara eres_rara
sosmivida eres_mi_vida
iloveyou te_amo
pdf archivo_de_documento_portátil
piece_of_cake fácil_de_hacer
cocacola refresco
coca_cola refresco
coca_colas refrescos
coca-cola refresco
deapoco de_a_poco
full_of_beans lleno_de_energía
easy_peasy muy_fácil
malaracha mal_momento
tonight esta_noche
forever para_siempre
malanimo mal_ánimo
unico único
unica única
grateful agradecido
dá dar
decis dices
dl del
mios míos
dps después
special especial
cool interesante
qu que
day día
days días
dia día
dias días
d de
loser perdedor
looser perdedor
lose perder
losers perdedores
loosers perdedores
pekeña pequeña
qe que
t te
whore protituta
x por
durisimos duros
durísimos duros
durisimo duro
durísimo duro
habia había
pekeño pequeño
simpatica simpática
dsp después
decaida decaída
re muy
ebola enfermedad
new nuevo
perfect perfecto
vierns viernes
online conectar_en_internet
wtf maldición
damn maldecir
super tienda
ébola enfermedad
paises países
okay bien
ok bien
k bien
oks bien
well bien
good bueno
lokas locas
loko loco
lokos locos
loka loca
loquito loco
loquitos locos
loquita loca
loquitas locas
lokito loco
lokitos locos
lokita loca
lokitas locas
crazy loco
cinturon cinturón
xk porque
love amor
akbo acabo
family familia
sweet dulce
app software
apps software
excusitas excusa
promise promesa
home hogar
hapiness felicidad
xq porque
ps pues
pq porque
live vivir
tranqui tranquilo
despus después
life vida
hojitas hojas
recien recién
unicas únicas
bebe bebé
bb bebé
baby bebé
babies bebés
mg gustar
jamas jamás
temp temperatura
priísta político
priista político
priistas políticos
priista político
panista político
panistas políticos
perredista político
perredistas políticos
tranquis tranquilo
zatanas diablo
zatanás diablo
satanas diablo
satanás diablo
simpaticas simpáticas
am de_la_mañana
pm de_la_tarde
tomorrow mañana
despues después
promo promoción
decaidas decaídas
excusita excusa
mio mío
ingles inglés
hojita hojas
presi presidente
mias míos
creia creía
pais país
ke que
cortita corto
cortito corto
cortitos cortos
cortitas cortos
gorrito gorro
gorrita gorra
gorritos gorro
gorritas gorras
week semana
finde fin_de_semana
weekend fin_de_semana
semanita semana
semanitas semanas
q que
look aspecto
god dios
coleccion colección
cheerful alegre
winner ganador
boyfriend novio
cool atractivo
heaven cielo
businesses negocios
anger ira
emotions emociones
joy alegría
disgusting asqueroso
afraid asustado
love amar
family familia
feelings sentimientos
follower seguidor
followers seguidores
angry enojado
calm tranquilo
lovely precioso
cute lindo
ugly feo
heart corazón
links enlaces
girlfriend novia
hell infierno
yes si
thank gracias
thanks gracias
thankful agradecido
welcome bienvenido
luck suerte
fear miedo
pet mascota
pets mascotas
god dios
friday viernes
free libre
disconcerted confundido
happy feliz
head cabeza
sadness tristeza
sad triste
nice agradable
surprise sorpresa
link enlace
surprised sorprendido
hi hola
hello hola
birthday cumpleaños
1a primera
1er primer
1ero primero
2do segundo
2da segunda
3ro tercero
3ra tercera
3er tercer
4to cuarto
4tos cuartos
4ta cuarta
5to quinto
5ta quinta
5tos quintos
:) estoy_feliz
:-) estoy_feliz
(: estoy feliz
(-: estoy feliz
:3 estoy feliz
:( estoy_triste
:-( estoy_triste
): estoy_triste
)-: estoy_triste
:') estoy_llorando
:O estoy_asombrado
:d estoy_sorprendida
:S estoy_confundido
folklore creencias_costumbres_tradicionales
folclor creencias_costumbres_tradicionales
folklor creencias_costumbres_tradicionales
